A,B,source
1,1.111,publication
2,0.782,publication
3,1.864,publication
4,1.423,publication
5,1.051,publication
6,0.812,publication
7,1.562,publication
8,1.203,publication
9,1.453,publication
10,0.561,publication
11,0.68,publication
12,0.752,publication
1,1.116,application
2,0.8344,application
3,2.168,application
4,1.518,application
5,1.184,application
6,0.7854,application
7,1.589,application
8,1.475,application
9,1.551,application
10,0.5462,application
11,0.7323,application
12,0.8774,application
1,0.978,publication
2,0.697,publication
3,1.656,publication
4,1.242,publication
5,0.904,publication
6,0.692,publication
7,1.392,publication
8,1.031,publication
9,1.291,publication
10,0.452,publication
11,0.603,publication
12,0.654,publication
1,0.9949,application
2,0.6731,application
3,1.746,application
4,1.2,application
5,0.3772,application
6,0.6782,application
7,1.382,application
8,1.101,application
9,1.368,application
10,0.2934,application
11,-0.01205,application
12,0.5842,application
1,1.262,publication
2,0.876,publication
3,2.098,publication
4,1.629,publication
5,1.222,publication
6,0.951,publication
7,1.752,publication
8,1.403,publication
9,1.636,publication
10,0.696,publication
11,0.766,publication
12,0.864,publication
1,1.236,application
2,0.9956,application
3,2.59,application
4,1.836,application
5,1.991,application
6,0.8925,application
7,1.797,application
8,1.849,application
9,1.734,application
10,0.7989,application
11,1.477,application
12,1.171,application
